,Event,Team,NOC,Year,Games,Season,City,Sport,Medal
0,Alpine Skiing Men's Combined,Austria,AUT,1988,1988 Winter,Winter,Calgary,Alpine Skiing,1.0
1,Alpine Skiing Men's Combined,Austria,AUT,1998,1998 Winter,Winter,Nagano,Alpine Skiing,1.0
2,Alpine Skiing Men's Combined,Austria,AUT,2002,2002 Winter,Winter,Salt Lake City,Alpine Skiing,1.0
3,Alpine Skiing Men's Combined,Austria,AUT,2006,2006 Winter,Winter,Torino,Alpine Skiing,1.0
4,Alpine Skiing Men's Combined,Croatia,CRO,2006,2006 Winter,Winter,Torino,Alpine Skiing,1.0
5,Alpine Skiing Men's Combined,Croatia,CRO,2010,2010 Winter,Winter,Vancouver,Alpine Skiing,1.0
6,Alpine Skiing Men's Combined,Croatia,CRO,2014,2014 Winter,Winter,Sochi,Alpine Skiing,1.0
7,Alpine Skiing Men's Combined,Italy,ITA,1992,1992 Winter,Winter,Albertville,Alpine Skiing,1.0
8,Alpine Skiing Men's Combined,Italy,ITA,2014,2014 Winter,Winter,Sochi,Alpine Skiing,1.0
9,Alpine Skiing Men's Combined,Norway,NOR,1994,1994 Winter,Winter,Lillehammer,Alpine Skiing,1.0
10,Alpine Skiing Men's Combined,Norway,NOR,1998,1998 Winter,Winter,Nagano,Alpine Skiing,1.0
11,Alpine Skiing Men's Combined,Norway,NOR,2002,2002 Winter,Winter,Salt Lake City,Alpine Skiing,1.0
12,Alpine Skiing Men's Combined,Switzerland,SUI,1988,1988 Winter,Winter,Calgary,Alpine Skiing,1.0
13,Alpine Skiing Men's Combined,Switzerland,SUI,1992,1992 Winter,Winter,Albertville,Alpine Skiing,1.0
14,Alpine Skiing Men's Combined,Switzerland,SUI,2010,2010 Winter,Winter,Vancouver,Alpine Skiing,1.0
15,Alpine Skiing Men's Combined,Switzerland,SUI,2014,2014 Winter,Winter,Sochi,Alpine Skiing,1.0
16,Alpine Skiing Men's Combined,United States,USA,2002,2002 Winter,Winter,Salt Lake City,Alpine Skiing,1.0
17,Alpine Skiing Men's Combined,United States,USA,2006,2006 Winter,Winter,Torino,Alpine Skiing,1.0
18,Alpine Skiing Men's Combined,United States,USA,2010,2010 Winter,Winter,Vancouver,Alpine Skiing,1.0
19,Alpine Skiing Men's Downhill,Austria,AUT,1956,1956 Winter,Winter,Cortina d'Ampezzo,Alpine Skiing,1.0
20,Alpine Skiing Men's Downhill,Austria,AUT,1964,1964 Winter,Winter,Innsbruck,Alpine Skiing,1.0
21,Alpine Skiing Men's Downhill,Austria,AUT,1972,1972 Winter,Winter,Sapporo,Alpine Skiing,1.0
22,Alpine Skiing Men's Downhill,Austria,AUT,1976,1976 Winter,Winter,Innsbruck,Alpine Skiing,1.0
23,Alpine Skiing Men's Downhill,Austria,AUT,1980,1980 Winter,Winter,Lake Placid,Alpine Skiing,1.0
24,Alpine Skiing Men's Downhill,Austria,AUT,1984,1984 Winter,Winter,Sarajevo,Alpine Skiing,1.0
25,Alpine Skiing Men's Downhill,Austria,AUT,1992,1992 Winter,Winter,Albertville,Alpine Skiing,1.0
26,Alpine Skiing Men's Downhill,Austria,AUT,1998,1998 Winter,Winter,Nagano,Alpine Skiing,1.0
27,Alpine Skiing Men's Downhill,Austria,AUT,2002,2002 Winter,Winter,Salt Lake City,Alpine Skiing,1.0
28,Alpine Skiing Men's Downhill,Austria,AUT,2006,2006 Winter,Winter,Torino,Alpine Skiing,1.0
29,Alpine Skiing Men's Downhill,Austria,AUT,2014,2014 Winter,Winter,Sochi,Alpine Skiing,1.0
30,Alpine Skiing Men's Downhill,Canada,CAN,1980,1980 Winter,Winter,Lake Placid,Alpine Skiing,1.0
31,Alpine Skiing Men's Downhill,Canada,CAN,1994,1994 Winter,Winter,Lillehammer,Alpine Skiing,1.0
32,Alpine Skiing Men's Downhill,France,FRA,1960,1960 Winter,Winter,Squaw Valley,Alpine Skiing,1.0
33,Alpine Skiing Men's Downhill,France,FRA,1964,1964 Winter,Winter,Innsbruck,Alpine Skiing,1.0
34,Alpine Skiing Men's Downhill,France,FRA,1968,1968 Winter,Winter,Grenoble,Alpine Skiing,1.0
35,Alpine Skiing Men's Downhill,France,FRA,1988,1988 Winter,Winter,Calgary,Alpine Skiing,1.0
36,Alpine Skiing Men's Downhill,France,FRA,1992,1992 Winter,Winter,Albertville,Alpine Skiing,1.0
37,Alpine Skiing Men's Downhill,France,FRA,1998,1998 Winter,Winter,Nagano,Alpine Skiing,1.0
38,Alpine Skiing Men's Downhill,France,FRA,2006,2006 Winter,Winter,Torino,Alpine Skiing,1.0
39,Alpine Skiing Men's Downhill,Germany,GER,1960,1960 Winter,Winter,Squaw Valley,Alpine Skiing,1.0
40,Alpine Skiing Men's Downhill,Germany,GER,1964,1964 Winter,Winter,Innsbruck,Alpine Skiing,1.0
41,Alpine Skiing Men's Downhill,Italy,ITA,1976,1976 Winter,Winter,Innsbruck,Alpine Skiing,1.0
42,Alpine Skiing Men's Downhill,Italy,ITA,2014,2014 Winter,Winter,Sochi,Alpine Skiing,1.0
43,Alpine Skiing Men's Downhill,Norway,NOR,1994,1994 Winter,Winter,Lillehammer,Alpine Skiing,1.0
44,Alpine Skiing Men's Downhill,Norway,NOR,1998,1998 Winter,Winter,Nagano,Alpine Skiing,1.0
45,Alpine Skiing Men's Downhill,Norway,NOR,2002,2002 Winter,Winter,Salt Lake City,Alpine Skiing,1.0
46,Alpine Skiing Men's Downhill,Norway,NOR,2010,2010 Winter,Winter,Vancouver,Alpine Skiing,1.0
47,Alpine Skiing Men's Downhill,Norway,NOR,2014,2014 Winter,Winter,Sochi,Alpine Skiing,1.0
48,Alpine Skiing Men's Downhill,Switzerland,SUI,1956,1956 Winter,Winter,Cortina d'Ampezzo,Alpine Skiing,1.0
49,Alpine Skiing Men's Downhill,Switzerland,SUI,1968,1968 Winter,Winter,Grenoble,Alpine Skiing,1.0
50,Alpine Skiing Men's Downhill,Switzerland,SUI,1972,1972 Winter,Winter,Sapporo,Alpine Skiing,1.0
51,Alpine Skiing Men's Downhill,Switzerland,SUI,1976,1976 Winter,Winter,Innsbruck,Alpine Skiing,1.0
52,Alpine Skiing Men's Downhill,Switzerland,SUI,1984,1984 Winter,Winter,Sarajevo,Alpine Skiing,1.0
53,Alpine Skiing Men's Downhill,Switzerland,SUI,1988,1988 Winter,Winter,Calgary,Alpine Skiing,1.0
54,Alpine Skiing Men's Downhill,Switzerland,SUI,2006,2006 Winter,Winter,Torino,Alpine Skiing,1.0
55,Alpine Skiing Men's Downhill,Switzerland,SUI,2010,2010 Winter,Winter,Vancouver,Alpine Skiing,1.0
56,Alpine Skiing Men's Downhill,United States,USA,1984,1984 Winter,Winter,Sarajevo,Alpine Skiing,1.0
57,Alpine Skiing Men's Downhill,United States,USA,1994,1994 Winter,Winter,Lillehammer,Alpine Skiing,1.0
58,Alpine Skiing Men's Downhill,United States,USA,2010,2010 Winter,Winter,Vancouver,Alpine Skiing,1.0
59,Alpine Skiing Men's Giant Slalom,Austria,AUT,1956,1956 Winter,Winter,Cortina d'Ampezzo,Alpine Skiing,1.0
60,Alpine Skiing Men's Giant Slalom,Austria,AUT,1960,1960 Winter,Winter,Squaw Valley,Alpine Skiing,1.0
61,Alpine Skiing Men's Giant Slalom,Austria,AUT,1964,1964 Winter,Winter,Innsbruck,Alpine Skiing,1.0
62,Alpine Skiing Men's Giant Slalom,Austria,AUT,1968,1968 Winter,Winter,Grenoble,Alpine Skiing,1.0
63,Alpine Skiing Men's Giant Slalom,Austria,AUT,1980,1980 Winter,Winter,Lake Placid,Alpine Skiing,1.0
64,Alpine Skiing Men's Giant Slalom,Austria,AUT,1988,1988 Winter,Winter,Calgary,Alpine Skiing,1.0
65,Alpine Skiing Men's Giant Slalom,Austria,AUT,1994,1994 Winter,Winter,Lillehammer,Alpine Skiing,1.0
66,Alpine Skiing Men's Giant Slalom,Austria,AUT,1998,1998 Winter,Winter,Nagano,Alpine Skiing,1.0
67,Alpine Skiing Men's Giant Slalom,Austria,AUT,2002,2002 Winter,Winter,Salt Lake City,Alpine Skiing,1.0
68,Alpine Skiing Men's Giant Slalom,Austria,AUT,2006,2006 Winter,Winter,Torino,Alpine Skiing,1.0
69,Alpine Skiing Men's Giant Slalom,France,FRA,1964,1964 Winter,Winter,Innsbruck,Alpine Skiing,1.0
70,Alpine Skiing Men's Giant Slalom,France,FRA,1968,1968 Winter,Winter,Grenoble,Alpine Skiing,1.0
71,Alpine Skiing Men's Giant Slalom,France,FRA,2006,2006 Winter,Winter,Torino,Alpine Skiing,1.0
72,Alpine Skiing Men's Giant Slalom,France,FRA,2014,2014 Winter,Winter,Sochi,Alpine Skiing,1.0
73,Alpine Skiing Men's Giant Slalom,Germany,GER,1994,1994 Winter,Winter,Lillehammer,Alpine Skiing,1.0
74,Alpine Skiing Men's Giant Slalom,Italy,ITA,1972,1972 Winter,Winter,Sapporo,Alpine Skiing,1.0
75,Alpine Skiing Men's Giant Slalom,Italy,ITA,1988,1988 Winter,Winter,Calgary,Alpine Skiing,1.0
76,Alpine Skiing Men's Giant Slalom,Italy,ITA,1992,1992 Winter,Winter,Albertville,Alpine Skiing,1.0
77,Alpine Skiing Men's Giant Slalom,Liechtenstein,LIE,1980,1980 Winter,Winter,Lake Placid,Alpine Skiing,1.0
78,Alpine Skiing Men's Giant Slalom,Liechtenstein,LIE,1984,1984 Winter,Winter,Sarajevo,Alpine Skiing,1.0
79,Alpine Skiing Men's Giant Slalom,Luxembourg,LUX,1992,1992 Winter,Winter,Albertville,Alpine Skiing,1.0
80,Alpine Skiing Men's Giant Slalom,Norway,NOR,1992,1992 Winter,Winter,Albertville,Alpine Skiing,1.0
81,Alpine Skiing Men's Giant Slalom,Norway,NOR,2002,2002 Winter,Winter,Salt Lake City,Alpine Skiing,1.0
82,Alpine Skiing Men's Giant Slalom,Norway,NOR,2010,2010 Winter,Winter,Vancouver,Alpine Skiing,1.0
83,Alpine Skiing Men's Giant Slalom,Sweden,SWE,1976,1976 Winter,Winter,Innsbruck,Alpine Skiing,1.0
84,Alpine Skiing Men's Giant Slalom,Sweden,SWE,1980,1980 Winter,Winter,Lake Placid,Alpine Skiing,1.0
85,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,1960,1960 Winter,Winter,Squaw Valley,Alpine Skiing,1.0
86,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,1968,1968 Winter,Winter,Grenoble,Alpine Skiing,1.0
87,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,1972,1972 Winter,Winter,Sapporo,Alpine Skiing,1.0
88,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,1976,1976 Winter,Winter,Innsbruck,Alpine Skiing,1.0
89,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,1984,1984 Winter,Winter,Sarajevo,Alpine Skiing,1.0
90,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,1988,1988 Winter,Winter,Calgary,Alpine Skiing,1.0
91,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,1994,1994 Winter,Winter,Lillehammer,Alpine Skiing,1.0
92,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,1998,1998 Winter,Winter,Nagano,Alpine Skiing,1.0
93,Alpine Skiing Men's Giant Slalom,Switzerland,SUI,2010,2010 Winter,Winter,Vancouver,Alpine Skiing,1.0
94,Alpine Skiing Men's Giant Slalom,United States,USA,2002,2002 Winter,Winter,Salt Lake City,Alpine Skiing,1.0
95,Alpine Skiing Men's Giant Slalom,United States,USA,2014,2014 Winter,Winter,Sochi,Alpine Skiing,1.0
96,Alpine Skiing Men's Giant Slalom,Yugoslavia,YUG,1984,1984 Winter,Winter,Sarajevo,Alpine Skiing,1.0
97,Alpine Skiing Men's Slalom,Austria,AUT,1956,1956 Winter,Winter,Cortina d'Ampezzo,Alpine Skiing,1.0
98,Alpine Skiing Men's Slalom,Austria,AUT,1960,1960 Winter,Winter,Squaw Valley,Alpine Skiing,1.0
99,Alpine Skiing Men's Slalom,Austria,AUT,1964,1964 Winter,Winter,Innsbruck,Alpine Skiing,1.0
100,Alpine Skiing Men's Slalom,Austria,AUT,1968,1968 Winter,Winter,Grenoble,Alpine Skiing,1.0
101,Alpine Skiing Men's Slalom,Austria,AUT,1992,1992 Winter,Winter,Albertville,Alpine Skiing,1.0
