Country,M_Olympics,GDP,M_Paralympics
Argentina,22.0,557.531376217967,0.0
Australia,82.0,1206.68510700247,81.0
Azerbaijan,18.0,37.867518957197504,11.0
Bahamas,6.0,11.9926,0.0
Belarus,12.0,47.7226578206675,10.0
Belgium,21.0,475.739588764759,11.0
Brazil,50.0,1795.69326581023,72.0
Bulgaria,7.0,53.953897624434404,0.0
Canada,69.0,1527.99474190743,29.0
China,113.0,11233.2765367447,245.0
Colombia,8.0,282.825009887458,17.0
Croatia,24.0,52.2951583442544,0.0
Cuba,11.0,91.37,15.0
Czech Republic,15.0,196.272068576338,7.0
Denmark,41.0,313.115929314339,7.0
Ethiopia,8.0,74.2966184810882,0.0
Fiji,13.0,4.930204229722629,0.0
France,96.0,2471.28560708172,28.0
Georgia,7.0,15.1417585667808,0.0
Germany,159.0,3467.49800210433,57.0
Greece,7.0,193.01703064970002,13.0
Hungary,22.0,128.636108315474,18.0
Iran,8.0,417.98358356553996,24.0
Italy,72.0,1875.79746358387,39.0
Jamaica,30.0,14.0771093968584,0.0
Japan,64.0,5003.67762754424,24.0
Kazakhstan,18.0,137.278320084171,0.0
Kenya,13.0,74.8151213149381,6.0
Lithuania,7.0,43.01808723757409,0.0
Malaysia,8.0,301.255380276258,0.0
Netherlands,47.0,783.528181704567,62.0
New Zealand,36.0,188.943457301474,21.0
Nigeria,18.0,404.650006428613,12.0
Norway,19.0,368.82714285714303,8.0
Poland,16.0,472.630364208177,39.0
Romania,16.0,188.128818486401,0.0
Russia,115.0,1276.78697922181,0.0
Serbia,54.0,40.6926433730327,9.0
Slovakia,8.0,89.6140531437939,11.0
South Africa,23.0,323.58550967448105,17.0
South Korea,26.0,1500.1115962363701,35.0
Spain,45.0,1232.07601736153,31.0
Sweden,28.0,515.654671469547,10.0
Switzerland,11.0,695.600652899283,0.0
Thailand,6.0,413.366150655591,18.0
Turkey,8.0,869.692960365551,9.0
UK,145.0,2722.85195848623,147.0
USA,264.0,18745.075687,115.0
Ukraine,15.0,93.3559936285042,117.0
Uzbekistan,13.0,86.1382886151218,31.0
